GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gil,com.gil.school.api,GilApplication,5,3,0,0,2,1,1,1,1,1
gil,com.gil.school.api.model.Enumeration,CourseLanguage,39,32,4,0,8,7,6,2,4,2
gil,com.gil.school.api.model.Enumeration,CourseType,3,53,0,0,1,10,1,2,1,2
gil,com.gil.school.api.model,Course,56,8,0,0,9,2,16,1,16,1
gil,com.gil.school.api.model,School,26,24,0,0,6,3,8,5,8,5
gil,com.gil.school.api.controller,SchoolController,118,3,4,0,27,1,11,1,9,1
gil,com.gil.school.api.controller,CourseController,112,3,4,0,26,1,10,1,8,1
gil,com.gil.school.api.model.Validators,Validators.WebsiteURLValidator,2,16,1,1,1,6,1,3,0,3
gil,com.gil.school.api.model.Validators,Validators,3,0,0,0,1,0,1,0,1,0
gil,com.gil.school.api.model.Validators,Validators.ValidLocationValidator,13,70,3,7,6,22,3,6,0,4
gil,com.gil.school.api.configuration,OpenApiConfig,3,0,0,0,1,0,1,0,1,0
gil,com.gil.school.api.configuration,GlobalExceptionHandler,8,3,0,0,1,1,1,1,1,1
gil,com.gil.school.api.configuration,ApiError,17,0,0,0,4,0,5,0,5,0
gil,com.gil.school.api.services,CourseService,146,3,16,0,31,1,18,1,10,1
gil,com.gil.school.api.services,SchoolService,160,3,14,0,31,1,18,1,11,1
